name,amount
38.0625,3
37.7043,1
35.4599,1
38.0961,496
38.5448,1
38.2379,1
38.2547,89
36.0793,2
36.0551,2
38.2081,2
41.0943,1
38.2529,53
36.2641,3
36.3546,1
35.8602,4
41.9198,1
37.1438,1
37.9731,1
38.4955,1
38.9973,1
38.2791,31
38.3351,13
39.795,1
38.0585,1
38.2372,32
37.5665,1
38.2307,256
38.1906,210
37.8268,3
38.3091,12
39.2426,1
38.3129,2
38.2663,419
38.215,138
37.8111,3
35.7029,2
35.3046,1
38.2589,57
38.4576,1
38.2188,181
38.8606,1
37.9343,1
39.8373,1
36.2403,1
38.8765,1
38.3877,5
EMPTY,896
37.9348,1
40.4773,2
38.0454,19
38.3458,4
38.5445,2
38.1919,2042
38.5781,1
38.1061,147
37.9979,51
39.844,1
38.3039,14
38.7293,1
39.076,1
35.3991,1
38.4538,1
38.5593,1
35.8133,2
39.4594,1
38.2163,121
38.1417,365
39.6016,1
35.8966,1
38.499,1
39.902,1
38.2481,212
37.8955,4
39.6511,2
38.1861,172
38.4739,6
39.7976,1
37.8251,1
38.2575,59
39.9609,1
48.0971,1
38.2414,428
37.8574,1
37.8285,6
35.4591,2
38.4078,9
38.3509,20
38.2651,52
36.1513,1
28.9306,1
37.9237,2
39.934,1
36.0133,3
39.2848,1
38.046,25
41.3977,1
37.5964,1
38.3007,1
37.0106,2
40.8407,1
38.2709,74
39.7196,1
37.6002,2
38.492,5
38.4006,1
37.8493,2
38.0079,1
38.1609,483
39.1044,1
38.0873,1
38.1889,650
38.1376,115
27.7879,1
37.8811,8
38.3056,54
27.9112,1
37.5659,1
37.9521,1
38.3038,17
37.3094,2
35.4614,1
42.6835,1
38.2115,7
39.1602,1
38.9839,1
38.1938,311
38.3869,1
38.0856,350
38.3703,2
38.2386,82
38.3748,2
38.1416,392
38.1472,215
37.6687,1
37.998,4
37.8825,1
38.1053,1
40.832,1
39.7751,1
37.2919,1
36.0074,1
25.6371,1
38.2229,82
38.1828,15
38.2108,3
35.2388,1
