name,amount
40224,3
40227,2
40220,138
40223,57
40222,52
40150,2
40229,350
40228,115
47122,1
47126,1
47129,14
40390,1
45644,1
37366,1
44129,1
37115,3
0,1
42765,1
37209,1
40004,3
40256,2
40258,365
40008,2
63764,2
46229,1
20169,1
46240,1
70272,1
45231,1
98362,1
33594,1
47136,1
47130,12
42740,1
46231,1
46234,1
40014,13
37356,1
40019,2
37211,2
40203,212
40202,53
40201,3
40207,59
40206,89
40205,82
40204,82
33713,1
40209,8
40208,181
46259,2
32159,1
40279,1
47140,2
47143,6
46808,1
47144,1
EMPTY,862
40253,1
20213,1
37027,1
47111,1
42420,1
40146,8
37130,4
42748,1
33158,1
42101,2
40023,15
40216,650
40020,1
40218,311
40219,392
40295,2
40214,483
40215,2034
40047,25
40217,121
40210,256
40211,428
40212,419
40213,172
38069,2
47150,17
10032,1
42348,1
37037,2
47220,1
37129,1
40031,9
40033,1
47165,1
47163,2
47161,2
40059,20
40057,1
40055,1
40265,1
46254,1
63111,1
40511,1
40515,1
46941,1
45248,1
46062,1
28704,1
40291,215
46226,1
40299,210
37087,1
37086,3
40121,4
45202,1
37327,1
40195,1
46143,1
42724,1
47172,5
40068,1
41042,1
40185,2
40272,496
40270,1
40271,2
40067,3
40277,1
40065,7
45240,1
40505,1
61701,2
40503,1
46077,1
26201,1
37013,2
62878,1
37091,1
40119,2
40118,147
471307,1
41075,1
40175,3
40177,4
40176,1
47106,1
60174,1
46201,1
42701,1
42011,2
40108,1
40109,3
40741,1
37128,2
40104,1
40242,31
40165,51
40160,6
62708,1
47112,2
48042,1
47119,4
42304,1
63304,1
4019,1
43008,1
43241,1
40245,74
40077,5
40243,32
40071,19
40241,54
37072,1
