name,amount
40224,44
40159,1
14850,1
10299,1
40220,140
40223,81
40222,52
54452,23
40150,3
40229,138
40228,62
41017,1
55343,7
47122,4
37840,1
47126,5
47124,1
14075,1
37803,1
47129,21
40177,1
33809,1
33040,1
60056,1
2740,4
80439,1
14472,8
40484,1
42104,1
14779,24
46365,1
40769,1
40003,1
42765,1
44266,1
40004,10
40046,2
40006,2
40258,160
40008,1
45242,1
40503,1
63959,1
41008,2
60563,1
53718,1
47163,2
40383,1
45231,12
45223,1
33884,7
39475,1
30905,1
47138,1
85087,1
40026,7
47135,7
47136,2
46545,27
47130,34
90804,1
4096,1
41094,3
41097,1
35031,1
40068,2
60618,17
55033,3
30316,1
40013,2
40011,2
42757,1
40014,20
47137,1
40107,1
40935,1
42368,1
40203,85
40202,7
45219,1
62918,1
40207,89
40206,194
40205,131
40204,104
45213,1
45212,2
45211,2
40208,90
78746,1
45305,1
52803,1
46260,2
60033,4
47141,1
47140,1
47143,2
12454,3
EMPTY,3417
78616,2
38372,1
21740,1
60126,1
60629,2
38401,19
90046,1
42420,1
42351,1
40146,1
42748,4
42103,7
40142,3
43054,2
55428,68
76068,1
25425,1
40023,13
40216,293
42210,2
40356,23
40218,191
40219,194
40601,4
40214,792
40215,263
40047,30
40217,111
40210,65
40211,135
40212,106
40213,94
54724,1
44133,1
45040,1
47150,21
60008,31
21207,1
42021,1
44255,24
12518,1
47220,1
5401,1
47117,3
19047,3
47404,1
98023,1
61832,1
60631,2
40324,1
37129,2
41031,1
40031,64
36521,1
40037,1
47167,1
40268,3
47165,3
41056,1
40342,6
47162,25
47161,2
40059,73
11946,3
40057,1
40591,9
40055,2
46254,1
4435,2
40511,1
47304,2
40517,1
40515,2
43235,1
41018,1
60011,1
43231,1
47302,115
46061,6
37412,1
40291,156
47803,1
43138,1
93744,2
40299,315
47250,3
18503,1
40121,14
57069,1
46410,3
47119,6
43035,1
40209,6
42348,1
47172,8
55321,10
40256,1
30319,1
40272,204
40379,1
40257,1
55379,263
40065,26
41016,1
37205,1
40508,2
48042,1
40504,2
40505,1
47542,1
7843,3
63764,1
42240,2
45202,1
47629,1
42003,2
40056,1
42718,2
55419,2
18510,1
32159,1
1748,3
40118,53
40117,1
38120,1
21005,1
55417,1
41072,1
41071,1
55363,38
41075,1
40175,14
19320,3
40176,1
40360,1
47106,5
27021,1
21770,1
42729,1
46615,4
42701,15
42702,1
37174,1
37172,1
40246,1
45419,1
1118,1
14004,1
40108,3
40109,9
45157,6
37069,5
46962,4
30152,1
19426,4
13104,22
40070,1
40104,3
40242,30
97229,1
47720,1
55443,16
40067,6
46180,1
40165,44
40162,1
47210,1
40160,12
60048,1
10508,1
47114,1
11552,20
47112,5
46368,1
21158,2
47111,10
24482,1
49236,1
42304,6
80916,1
13077,1
36272,1
46055,1
40075,2
40245,91
40077,7
40243,29
40071,19
40241,65
3224,1
45255,3
55316,6
