Month,Outcome Type,Amount
February,Foster,22
February,Returned to Owner,139
February,Disposal,10
February,Transferred to Rescue Group,158
February,Adopted,182
February,Euthanized,193
February,Died,9
February,Released in Field,26
February,EMPTY,6
October,Lost Report Expired,31
October,Foster,6
October,Returned to Owner,55
October,Disposal,5
October,Transferred to Rescue Group,117
October,Found Report Expired,3
October,Adopted,124
October,Euthanized,154
March,Missing,2
March,Returned to Owner,188
March,Disposal,9
March,Transferred to Rescue Group,252
March,Released in Field,35
March,Adopted,214
March,Foster,34
March,EMPTY,8
March,Euthanized,290
March,No Show,1
March,Died,6
August,Lost Report Expired,30
August,Foster,33
August,Missing,1
August,Returned to Owner,151
August,Disposal,10
August,Transferred to Rescue Group,285
August,Found Report Expired,5
August,Adopted,210
August,Missing Report Expired,1
August,Euthanized,310
August,EMPTY,3
August,Released in Field,2
August,Died,7
April,Foster,14
April,Missing,7
April,Returned to Owner,174
April,Disposal,15
April,Transferred to Rescue Group,305
April,Adopted,205
April,Euthanized,249
April,Died,8
April,Released in Field,11
April,No Show,1
April,EMPTY,9
September,Lost Report Expired,82
September,Returned to Owner,126
September,Disposal,5
September,Transferred to Rescue Group,160
September,Found Report Expired,5
September,Adopted,171
September,Foster,36
September,Euthanized,292
September,Died,12
January,Foster,19
January,Missing,2
January,Returned to Owner,132
January,Disposal,9
January,Transferred to Rescue Group,174
January,Adopted,125
January,Euthanized,190
January,EMPTY,4
January,Released in Field,7
January,Died,5
June,Foster,17
June,Missing,2
June,Returned to Owner,133
June,Disposal,5
June,Transferred to Rescue Group,263
June,Adopted,256
June,Euthanized,290
June,EMPTY,3
June,Released in Field,2
June,Died,11
May,Foster,12
May,Missing,1
May,Returned to Owner,195
May,Disposal,6
May,Transferred to Rescue Group,267
May,Adopted,196
May,Euthanized,259
May,EMPTY,2
May,Released in Field,18
May,Died,16
December,Foster,19
December,Missing,1
December,Returned to Owner,67
December,Disposal,5
December,Transferred to Rescue Group,141
December,Adopted,98
December,Euthanized,121
December,Died,2
July,Lost Report Expired,6
July,Foster,35
July,Missing,2
July,Returned to Owner,151
July,Disposal,12
July,Transferred to Rescue Group,237
July,Adopted,238
July,Euthanized,274
July,Died,5
November,Foster,10
November,Returned to Owner,63
November,Disposal,12
November,Transferred to Rescue Group,60
November,Adopted,101
November,Euthanized,136
November,Died,4
