name,amount
-85.8638,365
-86.763,1
-85.6221,138
-85.7536,147
-86.2825,1
-85.8291,1
-86.7792,1
-86.3249,1
-85.9736,1
-86.0538,1
-85.8252,17
-85.6004,20
-86.5285,2
-85.4324,15
-85.7514,53
-85.7204,12
-85.6683,2
-85.4584,13
-85.2774,1
-88.4971,1
-85.5917,215
-84.6607,1
-77.6495,1
-123.406,1
-85.3612,3
-85.6513,59
-80.3164,1
-86.8559,1
-85.0661,1
-86.3648,4
-86.3312,1
-82.8778,1
-87.5606,1
-85.7145,1
-85.891,4
-85.4616,3
-90.2517,1
-82.4793,1
-81.7358,1
EMPTY,896
-85.3384,1
-84.5294,1
-85.7665,212
-81.9381,1
-85.967,1
-88.9959,2
-85.6274,115
-86.0425,1
-86.7188,1
-80.2092,1
-82.2451,1
-85.7737,1
-86.3138,8
-82.5414,1
-84.644,1
-84.5078,1
-85.9229,1
-85.713,172
-85.9807,2
-86.5627,3
-85.739,121
-85.7679,14
-85.8546,1
-85.7762,483
-85.7025,89
-85.7867,256
-85.4832,74
-84.5345,1
-85.6967,51
-86.4243,1
-86.1295,1
-86.1183,1
-85.9662,4
-86.0948,2
-88.305,1
-86.2646,1
-85.5547,25
-85.6573,311
-85.7033,1
-85.8,419
-85.7263,82
-85.7841,2034
-85.3876,1
-85.3643,19
-85.6544,1
-86.3513,2
-85.9445,4
-85.6833,82
-85.1721,2
-86.1273,1
-82.6804,1
-85.6132,52
-90.6533,1
-84.5453,1
-85.6822,392
-84.4611,1
-85.7624,181
-85.8314,650
-84.5077,1
-85.5366,32
-84.6504,1
-85.753,8
-84.4535,1
-86.1298,2
-85.2166,7
-86.3531,2
-86.7057,3
-85.9683,1
-85.9389,6
-86.0129,1
-89.9813,2
-85.2826,2
-85.5904,31
-85.8599,496
-86.3487,1
-84.4513,1
-85.9177,1
-85.864,1
-89.357,2
-86.2927,1
-86.4614,2
-85.3877,1
-85.2515,1
-86.3541,1
-86.4455,2
-85.7356,3
-82.9296,1
-85.3848,9
-85.7327,2
-86.6478,2
-86.0069,3
-85.5535,210
-73.9415,1
-85.9079,1
-85.5842,54
-85.8118,428
-85.767,6
-85.5557,57
-86.1084,1
-85.4722,5
-86.7912,1
-85.1615,1
-86.0253,1
-85.7594,5
-86.7258,2
-84.0784,1
-85.6698,350
