IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Stray,2011,June,,,UNKNOWN,false,KITTN,ORANGE,2011,Other
Owner Surrender,2011,February,,Older than 1 year,MALE,true,MED,BLACK,2011,Home
Stray,2012,June,,Older than 1 year,FEMALE,false,MED,BROWN,2012,Euthanized
Owner Surrender,2012,May,,Older than 1 year,FEMALE,false,MED,BLACK,2012,Euthanized
Stray,2011,May,,,MALE,false,LARGE,BR BRINDLE,2011,Euthanized
Stray,2011,April,,,UNKNOWN,false,SMALL,BRN TABBY,2011,Other
Stray,2011,January,,,UNKNOWN,false,MED,GRAY TABBY,2011,Euthanized
Stray,2012,May,,Infant - Younger than 6 months,MALE,true,KITTN,ORANGE,2012,Other
Stray,2011,February,,,MALE,true,SMALL,WHITE,2011,Other
Stray,2012,July,,Older than 1 year,MALE,false,SMALL,TRICOLOR,2012,Other
Stray,2011,January,,,MALE,false,LARGE,CHOCOLATE,2011,Other
Stray,2011,March,,,MALE,false,MED,GRAY,2011,Euthanized
Stray,2011,December,,,FEMALE,true,MED,WHITE,2011,Home
Owner Surrender,2012,May,,Older than 1 year,FEMALE,true,MED,TRICOLOR,2012,Home
Owner Surrender,2011,January,DALMATIAN - PIT BULL,Youth - Younger than 1 year,MALE,true,LARGE,WHITE,2011,Euthanized
Stray,2012,April,,Older than 1 year,MALE,true,MED,ORG TABBY,2012,Home
Stray,2012,September,,Infant - Younger than 6 months,MALE,false,KITTN,BLACK,2012,Other
Reported Lost by Public,2012,August,,,FEMALE,false,MED,UNKNOWN,2012,Other
Stray,2012,February,LABRADOR RETR - PURE BRED,Older than 7 years,FEMALE,true,MED,BROWN,2012,Home
Owner Surrender,2011,July,,,UNKNOWN,false,MED,BLACK,2011,Euthanized
Owner Surrender,2012,May,,Older than 1 year,MALE,false,LARGE,BROWN,2012,Euthanized
Stray,2012,April,GERM SHEPHERD - MIX,,FEMALE,true,LARGE,BLACK,2012,Other
Stray,2011,November,,,MALE,false,KITTN,BLACK,2011,Euthanized
Owner Surrender,2012,September,,Youth - Younger than 1 year,MALE,true,SMALL,WHITE,2012,Other
Owner Surrender,2011,March,DOMESTIC SH - DOMESTIC SH,Youth - Younger than 1 year,MALE,true,LARGE,BLACK,2011,Home
Owner Surrender,2012,May,,Older than 7 years,FEMALE,true,LARGE,BLACK,2012,Euthanized
Stray,2011,July,,,UNKNOWN,false,MED,BLACK,2011,Euthanized
