IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Owner Surrender,2011,November,LABRADOR RETR - MIX,,MALE,true,MED,BLACK,2011
Owner Surrender,2011,May,CHOW CHOW - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,BLACK,2011
Stray,2011,July,,Infant - Younger than 6 months,FEMALE,false,MED,WHITE,2011
Owner Surrender,2012,August,,Older than 1 year,FEMALE,true,MED,TORTIE,2012
Stray,2011,November,CHIHUAHUA SH - MIX,Older than 1 year,FEMALE,true,SMALL,BROWN,2011
Stray,2011,November,GERM SHEPHERD - MIX,Older than 1 year,MALE,true,MED,BLACK,2011
Stray,2012,July,LABRADOR RETR - BASSET HOUND,Older than 1 year,MALE,true,MED,BLACK,2012
Owner Surrender,2011,April,,Older than 7 years,MALE,false,LARGE,BLACK,2011
Stray,2011,August,,,FEMALE,false,SMALL,ORG TABBY,2011
Stray,2012,June,,Older than 1 year,MALE,false,SMALL,BLACK,2012
Stray,2011,July,,,UNKNOWN,false,LARGE,GRAY,2011
Owner Surrender,2012,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,CREAM,2012
Impound,2011,March,,Older than 1 year,FEMALE,true,LARGE,TRICOLOR,2011
Stray,2011,June,,,UNKNOWN,false,LARGE,BLACK,2011
Stray,2011,January,,,UNKNOWN,false,SMALL,GRAY,2011
Owner Surrender,2011,July,,,FEMALE,false,X-LRG,BROWN,2011
Owner Surrender,2011,June,,Youth - Younger than 1 year,FEMALE,true,MED,BR BRINDLE,2011
Stray,2012,May,,Infant - Younger than 6 months,MALE,false,KITTN,BRN TABBY,2012
Stray,2011,March,,,FEMALE,false,MED,BROWN,2011
Stray,2011,August,BEAGLE - MIX,Older than 1 year,FEMALE,true,SMALL,BROWN,2011
Owner Surrender,2012,January,,Older than 1 year,FEMALE,true,LARGE,GRAY,2012
Stray,2011,April,,,FEMALE,false,MED,GRAY,2011
Owner Surrender,2011,November,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,2011
Stray,2012,January,,,MALE,false,SMALL,TAN,2012
